year,type,latitude,longitude,grid.ref,region,locality,indiv.count,state,month,date,lerc,source,source.type.1,source.type,escapee,obs.comment,article
2018,modern,51.89828,0.54798,,England,Braintree,1,alive,8,04/08/2018,N/A,Braintree and Witham Times,media,media,null,,https://www.braintreeandwithamtimes.co.uk/news/north_essex_news/16401468.video-wallaby-spotted-bouncing-its-way-around-braintree/
2018,modern,51.06704,0.68811,,England,Tenterden,1,alive,11,24/11/2018,Kent and Medway Biological Records Centre,Kent Online,media,media,null,Video,https://www.kentonline.co.uk/ashford/news/video-wallaby-hops-to-it-over-the-road-194055/
2018,modern,51.08471,0.06866,,England,Ashdown,1,alive,6,26/06/2018,Sussex Biodiversity Record Centre,Kent Live,media,media,null,Video,https://www.kentlive.news/news/sussex-news/updates-wallaby-filmed-loose-ashdown-1715321
2018,modern,51.09544,0.09895,,England,Hartfield,1,alive,6,06/06/2018,Sussex Biodiversity Record Centre,Sussex Express,media,media,null,Several sightings reported,https://www.sussexexpress.co.uk/news/kangaroo-encounter-catches-astonished-motorist-on-the-hop-1-8525755
2019,modern,53.66678,-0.28926,,England,Killingholme,2,alive,1,15/01/2019,Greater Lincolnshire Nature Partnership,Grimsby Live,media,media,null,"Ambiguous photo, observer claims individual with joey in pouch. 2019, exclude? Mention as potential sign of breeding?",https://www.grimsbytelegraph.co.uk/news/grimsby-news/kangaroo-lincolnshire-donkey-rabbit-scooby-2434638
2009,historic,53.155132,-2.001455,SK0062,England,Peak District,,,,,,,yalden,records,null,Yalden (2013),
1970,historic,51.011452,-0.26229746,TQ2225,England,Ashdown Forest,,,,,,,yalden,records,null,Lever (2009),
2013,historic,56.090053,-4.6145877,NS3791,Scotland,"Inchconnachan, L Lomond",,,,,,,yalden,records,null,"4 released, up to 43 present 1999",
1973,historic,54.277075,-0.40427196,TA0488,,Scarborough,,,,,,,yalden,records,yes,Escapee,
1977,historic,52.934693,1.1084606,TG0942,,Kelling,,,,,,,yalden,records,yes,Escapee,
1978,historic,52.2009,0.13493078,TL4658,England,Cambridge,,,,,,,yalden,records,yes,Escapee,
1978,historic,50.671526,-1.2938048,SZ5086,,"Hanenstreet, Isle of Wight",,,,,,,yalden,records,yes,Escapee,
2013,historic,53.712371,-2.1075342,SD9324,,Todmorden,,,,,,,yalden,records,null,Todmorden news. 1 seen recently,
1984,historic,52.451098,1.0301133,TM0688,England,"Banham, Norfolk",,,,,,,yalden,records,yes,Escapee,
1983,historic,52.217476,-1.1963698,SP5558,,"Badby, Northants",,,,,,,yalden,records,null,,
1984,historic,50.655677,-1.9872158,SZ0184,England,"Furzey Island, Dorset",,,,,,,yalden,records,null,,
1984,historic,50.547125,-3.4974561,SX9473,,Teignmouth,,,,,,,yalden,records,yes,"Escapees, recaptured",
1984,historic,52.103875,0.02807734,TL3947,,"Shepreth, Cambs",,,,,,,yalden,records,yes,"Escapees, recaptured",
1985,historic,51.596659,-1.1351853,SU6089,,Wallingford,,,,,,,yalden,records,null,Drowned in swimming pool,
1985,historic,51.567895,-0.91930991,SU7586,,Henley,,,,,,,yalden,records,null,Sunday Telegraph,
1986,historic,50.556296,-3.4836293,SX9574,,Dawlish,,,,,,,yalden,records,yes,Escapee,
1986,historic,52.444078,-0.47132041,TL0484,,"Lilford, Northants",,,,,,,yalden,records,yes,Escapees ,
1987,historic,51.506233,-1.0765982,SU6479,England,"Whitchurch Hill, Oxford",,,,,,,yalden,records,yes,Escapee,
1987,historic,50.941752,-2.6276248,ST5616,,"Yeovil, A30",,,,,,,yalden,records,null,,
1987,historic,53.68532,-1.8197818,SE1221,,"Sixby, Huddersfield",,,,,,,yalden,records,null,,
1987,historic,51.832311,-2.5528599,SO6215,,"Brierly, Cinderford",,,,,,,yalden,records,yes,Escapee,
1988,historic,54.36669,-2.6633127,SD5797,England,"Grayrigg, Cumbria",,,,,,,yalden,records,null,Daily Telegraph. 1 seen regularly,
1989,historic,52.14251,-0.83239238,SP8050,,Salcey Forest,,,,,,,yalden,records,null,1 seen crossing road,
1989,historic,50.855626,-1.5956615,ST3-0,,"New Forest, SE quarter",,,,,,,yalden,records,null,"Deer 7:433. 1 seen, disturbing sika",
1989,historic,53.09136,-2.4494115,SJ7055,,Crewe,,,,,,,yalden,records,yes,3 escapees,
1990,historic,51.858895,-0.52966118,SU9734,England,Dunstable,,,,,,,yalden,records,yes,Escapee,
1990,historic,50.375671,-4.5609556,SX1856,,"Boconnoc Estate, Lanreath",,,,,,,yalden,records,yes,Escapee,
1990,historic,50.863548,-0.63726667,SU9608,,Littlehampton,,,,,,,yalden,records,yes,Escapees,
1992,historic,54.772375,-1.5818354,NZ2742,England,Durham,,,,,,,yalden,records,yes,Escapee,
1993,historic,51.613378,0.29502432,TQ5993,,Brentwood,,,,,,,yalden,records,yes,Escapee,
1995,historic,50.863548,-0.63726667,SU9608,,"Slindon, Littlehampton",,,,,,,yalden,records,null,1 seen  ,
1995,historic,53.870365,-2.9596002,SD3742,,"Hambleton, Lancs",,,,,,,yalden,records,yes,Escapee,
1997,historic,55.033164,-1.7042765,NZ1971,England,Newcastle Airport,,,,,,,yalden,records,null,1 seen,
1997,historic,54.62011,-2.0944337,NY9425,,Middleton-by-Teesdale,,,,,,,yalden,records,null,14 seen,
2002,historic,51.660131,-0.90180713,SU7956,,"Stokenchurch, M40",,,,,,,yalden,records,null,1 dead on road,
2002,historic,52.776654,0.11852129,TF4322,England,"Long Sutton, Lincs",,,,,,,yalden,records,null,1 seen,
2003,historic,52.372597,-2.3245688,SO7875,England,"Bewdley Hill, Worcs",,,,,,,yalden,records,null,"1 captured, source unknown",
2005,historic,52.768111,-1.6605539,SK2319,England,"Drakelow, Derbyshire",,,,,,,yalden,records,null,1 seen on road,
2005,historic,52.286612,-0.85792963,SP7866,,"Moulton, Northants",,,,,,,yalden,records,yes,Escapee,
2005,historic,52.060241,-0.703259991,SP8941,England,"Milton Keynes, M1",,,,,,,yalden,records,null,1 seen on road,
2007,historic,55.590535,-1.8428988,NU1033,England,"Belford, Northumberland",,,,,,,yalden,records,yes,3 escapees,
